S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency ID
4,ARJUN KUMAR,Communist Party of India,14062,60,14122,1.3,S274
5,DR. ABHISHEK KUMAR SINGH,Independent,14038,68,14106,1.3,S274
6,ARJUN PRAJAPATI,Independent,13320,8,13328,1.23,S274
7,DEEPAK KUMAR GUPTA,Independent,12384,182,12566,1.16,S274
8,NAGMANI,Bahujan Samaj Party,11798,152,11950,1.1,S274
9,CHANDAN KUMAR,Independent,6569,13,6582,0.61,S274
10,MD ABUZAR KHAN,Independent,5820,3,5823,0.54,S274
11,YOGESH KUMAR SINGH,Independent,5110,2,5112,0.47,S274
12,BIMAL LAKRA,Ambedkarite Party of India,4983,31,5014,0.46,S274
13,KARMLAL ORAON,Peoples Party of India (Democratic),3968,42,4010,0.37,S274
14,SUMIT KUMAR YADAV,Samata Party,3499,17,3516,0.32,S274
15,SANJAY KUMAR SNEHI,Lokhit Adhikar Party,3202,14,3216,0.3,S274
16,MAHESH BANDO,Bahujan Mukti Party,3159,42,3201,0.29,S274
17,SRIRAM SINGH,Independent,2991,2,2993,0.28,S274
18,DARSHAN GANJHU,Jharkhand Party,2780,37,2817,0.26,S274
19,DULESHWAR SAW,Bharatheeya Jawan Kisan Party,2376,9,2385,0.22,S274
20,LAW KUMAR PANDIT,Bhagidari Party(P),2372,8,2380,0.22,S274
21,KAMDEO DIHO RANA,Rashtriya Jan Utkarsh Party,2297,12,2309,0.21,S274
22,VIKRANT KUMAR SINGH,Independent,2288,1,2289,0.21,S274
23,NOTA,None of the Above,8435,76,8511,0.78,S274
1,JAGANNATH SARKAR,Bharatiya Janata Party,778046,4350,782396,50.78,S2513
2,MUKUT MANI ADHIKARI,All India Trinamool Congress,592276,3221,595497,38.65,S2513
3,ALAKESH DAS,Communist Party of India  (Marxist),122970,840,123810,8.04,S2513
4,BIPLAB BISWAS,Bahujan Samaj Party,9319,73,9392,0.61,S2513
5,PARESH HALDAR,Socialist Unity Centre Of India (COMMUNIST),8223,16,8239,0.53,S2513
6,JAGANNATH SARKAR,Independent,5831,30,5861,0.38,S2513
7,SHYAMAL KUMAR MALLICK,Independent,5533,11,5544,0.36,S2513
8,NOTA,None of the Above,9798,95,9893,0.64,S2513
1,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,497083,3016,500099,43.86,S2212
2,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,289650,1683,291333,25.55,S2212
3,DR GANESH KUMAR A ME PHD,Pattali Makkal Katchi,234538,2033,236571,20.75,S2212
4,"BAKIYALAKSHMI, K.",Naam Tamilar Katchi,65981,759,66740,5.85,S2212
5,"MANIGANDAN, V.",Independent,4787,21,4808,0.42,S2212
6,"GANESH KUMAR, U.",Independent,3809,3,3812,0.33,S2212
7,DURAI  M,Bahujan Samaj Party,3635,50,3685,0.32,S2212
8,"GAJENDRAN, J.",Independent,3393,7,3400,0.3,S2212
9,"KARVANNAN, K.",Independent,3032,4,3036,0.27,S2212
10,"GAJENDIRAN, E.",Independent,2612,1,2613,0.23,S2212
11,"KOTTAI VENKATESAN, M.",Independent,1893,15,1908,0.17,S2212
12,"SENTHIL KUMAR, D.",Independent,1469,6,1475,0.13,S2212
13,"SEKAR, N.",Independent,1397,3,1400,0.12,S2212
14,SAKTHIVEL A,Thakkam Katchi,1174,12,1186,0.1,S2212
15,"GANESH, P.",Independent,978,2,980,0.09,S2212
16,NAGARAJAN P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,921,6,927,0.08,S2212
17,CAPTAIN SETTU M,Viro Ke Vir Indian Party,881,41,922,0.08,S2212
18,"JAISANKAR, M.",Independent,836,4,840,0.07,S2212
19,EZHIL ARASU M,Independent,741,12,753,0.07,S2212
20,BABU N,Independent,669,5,674,0.06,S2212
21,"DURUGAN, M.",United Republican Party of India,596,8,604,0.05,S2212
22,MOHMMAD SIDDIQ M H,Independent,525,3,528,0.05,S2212
23,"DHARANI, D.",Independent,466,2,468,0.04,S2212
24,"MANAVALAN, A.",Anna MGR Dravida Makkal Kalgam,433,47,480,0.04,S2212
25,"ARUL, M.",Independent,429,81,510,0.04,S2212
26,"MURUGESAN, D.",Independent,398,5,403,0.04,S2212
27,"ELLAPPAN, R.",Independent,375,3,378,0.03,S2212
28,"FEROZKHAN, A.",Independent,295,3,298,0.03,S2212
29,"DHAMODHARAN, G.",Independent,237,5,242,0.02,S2212
30,NOTA,None of the Above,9084,104,9188,0.81,S2212
1,NARESH GANPAT MHASKE,Shiv Sena,732109,2122,734231,56.09,S1325
2,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),515013,2207,517220,39.51,S1325
3,SANTOSH BHIKAJI BHALERAO,Bahujan Samaj Party,10602,60,10662,0.81,S1325
4,ADV. GURUDEV NARSINGH SURYAWANSHI,Independent,3489,5,3494,0.27,S1325
5,MUKESH KAILASNATH TIWARI,Bhim Sena,2509,13,2522,0.19,S1325
6,JHA SUBHASH CHANDRA,Sardar Vallabhbhai Patel Party,2354,4,2358,0.18,S1325
7,DR. PIYUSH K. SAXENA,Independent,2292,1,2293,0.18,S1325
8,CHANDRAKANT VITTHAL SONAWANE,Independent,2245,4,2249,0.17,S1325
9,VIJAY DNYANOBA GHATE,Republican Bahujan Sena,1870,17,1887,0.14,S1325
10,IRFAN IBRAHIM SHAIKH,Independent,1867,8,1875,0.14,S1325
11,PRAMOD ANANDRAO DHUMAL,Independent,1785,1,1786,0.14,S1325
12,BHANWARLAL KHETMAL MEHTA,Hindu Samaj Party,1483,5,1488,0.11,S1325
13,UTTAM KISANRAO TIRPUDE,Peoples Party of India (Democratic),1349,5,1354,0.1,S1325
14,ARCHANA DINKAR GAIKWAD,Independent,1164,16,1180,0.09,S1325
15,SALIMA MUKTAR VASANI,Bahujan Maha Party,905,7,912,0.07,S1325
16,RAJIV KONDIBA BHOSALE,Independent,878,8,886,0.07,S1325
17,RAHUL JAGBIRSINGH MEHAROLIYA,Bahujan Republican  Socialist Party,818,0,818,0.06,S1325
18,RAJENDRA RAMCHANDRA SANKHE,Bharatheeya Jawan Kisan Party,759,8,767,0.06,S1325
19,KHAJASAB RASULSAB MULLA,Independent,646,2,648,0.05,S1325
20,SANJAY MANOHAR MORE,Independent,639,4,643,0.05,S1325
21,MALLIKARJUN SAYBANNA PUJARI,Independent,597,2,599,0.05,S1325
22,SAWALE DATTATRAY SITARAM,Independent,529,2,531,0.04,S1325
23,SURENDRAKUMAR K. JAIN,Independent,438,2,440,0.03,S1325
24,SIDDHANT CHHABAN SHIRSAT,Independent,319,5,324,0.02,S1325
25,NOTA,None of the Above,17768,133,17901,1.37,S1325
1,SACHITHANANTHAM R,Communist Party of India  (Marxist),667391,2758,670149,58.29,S2222
2,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,225492,836,226328,19.69,S2222
3,THILGABAMA M,Pattali Makkal Katchi,111013,1490,112503,9.79,S2222
4,KAILAI RAJAN D,Naam Tamilar Katchi,96891,954,97845,8.51,S2222
5,RAJKUMAR R,Independent,4410,6,4416,0.38,S2222
6,NATCHIMUTHU S,Bahujan Samaj Party,4231,53,4284,0.37,S2222
7,DINESHKUMAR S,All India Youth Development Party,2411,23,2434,0.21,S2222
8,MURUGESAN (A) VISHNU MURUGESAN C,Independent,2004,4,2008,0.17,S2222
9,ANGUCHAMY M,Independent,1286,4,1290,0.11,S2222
10,SURESH K,Independent,1254,3,1257,0.11,S2222
11,ARUMUGAM R,Independent,1078,11,1089,0.09,S2222
12,SABARINATH S,Independent,1001,10,1011,0.09,S2222
13,ANBUROSE D,Independent,997,15,1012,0.09,S2222
14,PALANISAMY K,Independent,941,8,949,0.08,S2222
15,SATHISH KANNA G T,Independent,914,12,926,0.08,S2222
16,NOTA,None of the Above,21860,260,22120,1.92,S2222
1,DEVESH SHAKYA,Samajwadi Party,474263,1545,475808,47.09,S2422
2,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,446748,1008,447756,44.32,S2422
3,MOHAMMAD IRFAN ADVOCATE,Bahujan Samaj Party,71407,178,71585,7.08,S2422
4,ANUPAM KUMAR,Kisan Kranti Dal,3944,5,3949,0.39,S2422
5,KAILASH KUMAR,Independent,1728,0,1728,0.17,S2422
6,DANVEER,Independent,1261,4,1265,0.13,S2422
7,UDAY VEER SINGH,Peoples Party of India (Democratic),985,7,992,0.1,S2422
8,ASHOK KUMAR,Independent,777,3,780,0.08,S2422
9,VIABHAV MISHRA,Bhartiya Shakti Chetna Party,742,5,747,0.07,S2422
10,AMAR SINGH,Independent,609,6,615,0.06,S2422
11,NOTA,None of the Above,5145,11,5156,0.51,S2422
1,DR.MALLU RAVI,Indian National Congress,459259,5813,465072,38.14,S2912
2,BHARATH  PRASAD POTHUGANTI,Bharatiya Janata Party,364898,5760,370658,30.4,S2912
3,DR.R.S.PRAVEEN KUMAR,Bharat Rashtra Samithi,319216,2127,321343,26.36,S2912
4,AMBOJU RAVI,Alliance of Democratic Reforms Party,12544,10,12554,1.03,S2912
5,BESAMOLLA  YOSEF,Bahujan Samaj Party,7138,80,7218,0.59,S2912
6,PILLELA SRIKANTH,Independent,6403,1,6404,0.53,S2912
7,BUDDHULA SRINIVAS,Independent,4358,3,4361,0.36,S2912
8,PALADHI NAGARAJU,Independent,4056,2,4058,0.33,S2912
9,AMARNATH,India Praja Bandhu Party,3703,6,3709,0.3,S2912
10,PULJALA BALAIAH,Independent,3582,2,3584,0.29,S2912
11,GALIMUDI GEETHA,Independent,3145,2,3147,0.26,S2912
12,KARNE. SHIREESHA @ BARRELAKKA,Independent,3037,50,3087,0.25,S2912
13,PAKIRA RAMULU,Independent,2833,6,2839,0.23,S2912
14,BIKSHAPATHI LANDA,Independent,1980,1,1981,0.16,S2912
15,AYYAPPA SUNIL,Rashtriya Praja Congress  (Secular),1224,3,1227,0.1,S2912
16,GADDAM VIJAY,Bahujan Mukti Party,1006,3,1009,0.08,S2912
17,PRASANGI,Pyramid Party of India,892,0,892,0.07,S2912
18,VAGGU VINAY,Vidhyarthula Rajakiya Party,768,2,770,0.06,S2912
19,DASARI BHARATHI,Viduthalai Chiruthaigal Katchi,722,8,730,0.06,S2912
20,NOTA,None of the Above,4511,69,4580,0.38,S2912
1,DR SHRIKANT EKNATH SHINDE,Shiv Sena,587921,1715,589636,56.38,S1324
2,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),379236,1256,380492,36.39,S1324
3,MO. SAHABUDDIN SHAIKH SULEMANI THAKUR,Vanchit Bahujan  Aaghadi,18697,44,18741,1.79,S1324
4,PRASHANT RAMESH INGLE,Bahujan Samaj Party,11285,56,11341,1.08,S1324
5,AMIT UPADHYAY,Right to Recall Party,4185,20,4205,0.4,S1324
6,ARUN BHAURAO NITURE,Rashtriya Kisan Bahujan Party,2751,2,2753,0.26,S1324
7,AMRISH RAJ MORAJKAR,Independent,2616,4,2620,0.25,S1324
8,ASHWINI AMOL KENDRE,Independent,2461,7,2468,0.24,S1324
9,NAFIS AHMED ANSARI,Independent,1997,3,2000,0.19,S1324
10,SUSHILA KASHINATH KAMBLE,Bahujan Samaj Party  (Ambedkar),1847,11,1858,0.18,S1324
11,ABHIJIT WAMANRAO BICHUKALE,Independent,1823,1,1824,0.17,S1324
12,AJAY SHYAM MORYA,Independent,1798,4,1802,0.17,S1324
13,SAMBHAJI JAGANNATH JADHAV,Sanyukt Bharat Paksh,1607,2,1609,0.15,S1324
14,CHANDRAKANT RAMBHAJI MOTE,Independent,1378,2,1380,0.13,S1324
15,POONAM JAGANNATH BAISANE,Bahujan Republican  Socialist Party,1376,5,1381,0.13,S1324
16,HINDURAO DADU PATIL,Rashtriya Maratha Party,1236,7,1243,0.12,S1324
17,GAWALI PRAVIN SHIVAJI,Apni Prajahit Party,1080,2,1082,0.1,S1324
18,ARUN VAMAN JADHAV,Independent,1077,5,1082,0.1,S1324
19,SHRIDHAR NARAYAN SALVE,Bhim Sena,1068,4,1072,0.1,S1324
20,SHRIKANT SHIVAJI VANJARE,Peoples Party of India (Democratic),806,2,808,0.08,S1324
21,PRAJAKTA NILESH YELVE,Independent,780,3,783,0.07,S1324
22,DNYANESHWAR LOKHANDE MAHARAJ,Independent,738,3,741,0.07,S1324
23,ADV. HITESH JAIKISHAN JESWANI,Independent,712,3,715,0.07,S1324
24,MOHAMMAD YUSUF KHAN,Independent,648,5,653,0.06,S1324
25,RAKESH KUMAR DHISULAL JAIN,Independent,599,3,602,0.06,S1324
26,SHIVA KRISHNAMURTI IYER,Independent,435,2,437,0.04,S1324
27,SALIMUDDIN KHALILUDDIN SHAIKH,Independent,370,1,371,0.04,S1324
28,DR. SACHIN SAHEBRAO PATIL,Independent,346,5,351,0.03,S1324
29,NOTA,None of the Above,11603,83,11686,1.12,S1324
1,BHAJAN LAL JATAV,Indian National Congress,525379,4632,530011,53.64,S2010
2,INDU DEVI,Bharatiya Janata Party,426798,4268,431066,43.62,S2010
3,VIKRAM SINGH,Bahujan Samaj Party,14005,107,14112,1.43,S2010
4,RAMKHILADI DHOVI,Independent,5426,47,5473,0.55,S2010
5,NOTA,None of the Above,7402,58,7460,0.75,S2010
1,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,603105,2540,605645,46.53,S2540
2,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,544077,2004,546081,41.96,S2540
3,JAHANARA KHAN,Communist Party of India  (Marxist),105454,510,105964,8.14,S2540
4,DIPIKA BAURI,Independent,10623,24,10647,0.82,S2540
5,SUNNY KUMAR SAH,Bahujan Samaj Party,8546,29,8575,0.66,S2540
6,SUJIT PAL,Independent,4749,11,4760,0.37,S2540
7,AMARNATH CHOWDHURY,Socialist Unity Centre Of India (COMMUNIST),4330,28,4358,0.33,S2540
8,NOTA,None of the Above,15448,62,15510,1.19,S2540
1,DUSHYANT SINGH,Bharatiya Janata Party,861850,3526,865376,60.88,S2025
2,URMILA JAIN “BHAYA”,Indian National Congress,492342,2045,494387,34.78,S2025
3,CHANDRA SINGH KIRAD,Bahujan Samaj Party,12252,33,12285,0.86,S2025
4,RAVI RAJ SINGH,Independent,10231,43,10274,0.72,S2025
5,BHUVANESH KUMAR,Right to Recall Party,9324,21,9345,0.66,S2025
6,BABULAL,Independent,7668,24,7692,0.54,S2025
7,PANKAJ PAJANTORIVALA,Independent,5927,18,5945,0.42,S2025
8,NOTA,None of the Above,15958,69,16027,1.13,S2025
1,ANNPURNA DEVI,Bharatiya Janata Party,787185,4472,791657,57.79,S275
2,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),410945,3698,414643,30.27,S275
3,MANOJ KUMAR,Independent,28310,302,28612,2.09,S275
4,JAI PRAKASH VERMA,Independent,22843,380,23223,1.7,S275
5,SITAN RABIDAS,Bahujan Samaj Party,13067,107,13174,0.96,S275
6,SURENDRA KUMAR AGRAWAL,Independent,9646,10,9656,0.7,S275
7,SAHADAT ANSARI,Independent,8217,15,8232,0.6,S275
8,JAYNARAYAN DAS,Bahujan Mukti Party,6701,37,6738,0.49,S275
9,AKLESHWAR SAW,Lokhit Adhikar Party,5574,27,5601,0.41,S275
10,JITLAL KISKU,Independent,5299,34,5333,0.39,S275
11,MD. SAGIR,Independent,5041,3,5044,0.37,S275
12,AJAY KRISHNA,Moolniwasi Samaj Party,4526,15,4541,0.33,S275
13,RAJESH,Independent,4230,3,4233,0.31,S275
14,RAMESHWAR PRASAD YADAV,Independent,4227,2,4229,0.31,S275
15,ASHISH KUMAR,Right to Recall Party,2892,4,2896,0.21,S275
16,NOTA,None of the Above,42089,63,42152,3.08,S275
1,BALWANT BASWANT WANKHADE,Indian National Congress,524136,2135,526271,44.84,S137
2,NAVNEET RAVI RANA,Bharatiya Janata Party,504806,1734,506540,43.16,S137
3,DINESH GANESHDAS BUB,Prahar Janshakti Party,84985,315,85300,7.27,S137
4,ANANDRAJ YASHWANT AMBEDKAR,Republican Sena,18713,80,18793,1.6,S137
5,KISHOR BHIMRAO LABADE,Independent,4522,2,4524,0.39,S137
6,SANJAYKUMAR FATTESINGH GADGE,Bahujan Samaj Party,4485,28,4513,0.38,S137
7,SUMITRA SAHEBRAO GAIKWAD,Independent,2686,4,2690,0.23,S137
8,ARUN YASHWANTRAO BHAGAT,Independent,2086,2,2088,0.18,S137
9,KISHOR DNYANESHWAR TAYDE,Independent,2070,2,2072,0.18,S137
10,SURAJ DHANRAJ NAGDVANE,Independent,1815,3,1818,0.15,S137
11,GAUTAM ALIAS ANANTA RAMDAS INGALE,Independent,1570,0,1570,0.13,S137
12,PRAMOD RAMKRUSHNA CHOURPAGAR,Independent,1306,1,1307,0.11,S137
13,ANIL THAWARE ALIAS DR. ANILKUMAR NAGBUDDHA,Independent,1206,0,1206,0.1,S137
14,SURESH PUNDLIK MESHRAM,Independent,1051,1,1052,0.09,S137
15,SATISH YASHWANTRAO GEDAM,Independent,942,1,943,0.08,S137
16,MANOHAR KRUSHNAJI KURHADE,Independent,871,0,871,0.07,S137
17,DIGAMBAR WAMAN BHAGAT,Naki Bharatiya Ekta Party,760,2,762,0.06,S137
18,ENGI. AVINASH HARISHCHANDRA DHANAWATE,Peoples Party of India (Democratic),725,5,730,0.06,S137
19,HIMMAT BHIMRAO DHOLE,Independent,668,2,670,0.06,S137
20,SUSHAMA GAJANAN AWACHAR,Jay Vidarbha Party,656,3,659,0.06,S137
21,GANESH NANAJI RAMTEKE,Akhil Bhartiya Parivar Party,624,5,629,0.05,S137
22,MANKAR DNYANESHWAR KASHIRAO,Independent,538,1,539,0.05,S137
23,TARA SURESH WANKHADE,Independent,526,1,527,0.04,S137
24,SHRIKRUSHNA SAKHARAMJI KSHIRSAGAR,Independent,508,2,510,0.04,S137
25,ADV. RAJU MADHUKARRAO KALANE,Bahujan Bharat Party,495,0,495,0.04,S137
26,BHARAT CHAMPATRAO YANGAD,Independent,441,0,441,0.04,S137
27,VARSHA BHAGAWANTRAO BHAGAT,Independent,440,3,443,0.04,S137
28,NARENDRA BABULAL KATHANE,Desh Janhit Party,422,0,422,0.04,S137
29,PRABHAKAR PANDURANG BHATKAR,Independent,365,0,365,0.03,S137
30,ADV. PRUTHVISAMRAT MUKINDRAO DIPWANSH,Independent,335,2,337,0.03,S137
31,BHAURAO SAMPATRAO WANKHADE,All India Forward Bloc,328,1,329,0.03,S137
32,GHAZI SAADUDDIN ZAHEER AHMED,Rashtriya Ulama Council,325,6,331,0.03,S137
33,RAVI GUNWANTRAO WANKHADE,Independent,286,2,288,0.02,S137
34,SONALI SANJAY MESHRAM,Independent,270,2,272,0.02,S137
35,SANDEEP BABULAL MESHRAM,Independent,257,0,257,0.02,S137
36,RAJESH TULSHIRAM KHADE,Independent,239,0,239,0.02,S137
37,RAJU MAHADEVRAO SONONE,Independent,230,2,232,0.02,S137
38,NOTA,None of the Above,2517,27,2544,0.22,S137
1,AJENDRA SINGH LODHI,Samajwadi Party,490003,680,490683,44,S2447
2,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,487373,681,488054,43.76,S2447
3,NIRDOSH KUMAR DIXIT,Bahujan Samaj Party,94564,132,94696,8.49,S2447
4,ANUPAM KUMAR TRIPATHI,Bhartiya Shakti Chetna Party,6401,6,6407,0.57,S2447
5,BRIJESH KUMAR PAL,Rashtra Uday Party,4516,11,4527,0.41,S2447
6,BHUVANENDRA NARAYAN SINGH,Independent,4315,5,4320,0.39,S2447
7,SANTOSH KUMAR,Independent,3776,1,3777,0.34,S2447
8,RAJESH SINGH,Independent,3605,2,3607,0.32,S2447
9,SURESH KUMAR,Eklavya Samaj Party,2181,0,2181,0.2,S2447
10,SANJIV KUMAR,Spashtwadi Jan Aadhar Party,2003,0,2003,0.18,S2447
11,DHARMRAJ,Al-Hind Party,1589,2,1591,0.14,S2447
12,NOTA,None of the Above,13442,11,13453,1.21,S2447
1,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,757787,6163,763950,57.04,S0623
2,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,526054,7643,533697,39.85,S0623
3,REKHABEN HARSINGBHAI CHAUDHARI,Bahujan Samaj Party,15872,272,16144,1.21,S0623
4,NOTA,None of the Above,24762,780,25542,1.91,S0623
1,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98,S1117
2,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),297888,3616,301504,32.79,S1117
3,ANIL K.ANTONY,Bharatiya Janata Party,231172,3234,234406,25.49,S1117
4,ADV.P.K.GEETHAKRISHNAN,Bahujan Samaj Party,3918,54,3972,0.43,S1117
5,JOY P.MATHEW,People's Party of India(secular),1173,8,1181,0.13,S1117
6,K.C.THOMAS,Independent,1080,21,1101,0.12,S1117
7,ADV.HARIKUMAR M.K.,Ambedkarite Party of India,735,27,762,0.08,S1117
8,ANOOP V.,Independent,557,52,609,0.07,S1117
9,NOTA,None of the Above,8268,143,8411,0.91,S1117
1,LAXMIKANT PAPPU NISHAD,Samajwadi Party,497488,1207,498695,45.7,S2462
2,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,405611,914,406525,37.25,S2462
3,NADEEM ASHRAF,Bahujan Samaj Party,150549,263,150812,13.82,S2462
4,DHEERAJ SRIVASTAV,Pragatisheel Samaj Party,5135,5,5140,0.47,S2462
5,RAM KRISHNA DWIVEDI,Independent,4509,0,4509,0.41,S2462
6,SATYVANT PRATAP SINGH,Independent,4351,7,4358,0.4,S2462
7,KULDEEP,Sardar Patel Siddhant Party,3591,4,3595,0.33,S2462
8,MITRASEN,Independent,2535,9,2544,0.23,S2462
9,RAJENDRA YADAV URF COLONEL SAHAB,Sarvjan Awaz Party,2229,10,2239,0.21,S2462
10,ANAND KUMAR GAUTAM,Independent,1840,10,1850,0.17,S2462
11,SUBHASH CHANDRA DUBEY,Naki Bharatiya Ekta Party,1702,6,1708,0.16,S2462
12,NOTA,None of the Above,9210,17,9227,0.85,S2462
1,DM KATHIR ANAND,Dravida Munnetra Kazhagam,566435,2257,568692,50.35,S228
2,AC SHANMUGAM,Bharatiya Janata Party,350956,2034,352990,31.25,S228
3,DR S PASUPATHI,All India Anna Dravida Munnetra Kazhagam,116964,718,117682,10.42,S228
4,D MAHESH ANAND,Naam Tamilar Katchi,52707,577,53284,4.72,S228
5,A NATARAJAN,Bharatiya Praja Aikyata Party,3982,23,4005,0.35,S228
6,SHANMUGAVELU,Independent,3570,6,3576,0.32,S228
7,MANSOOR ALI KHAN,Independent,2769,35,2804,0.25,S228
8,SYED ALI D,Independent,2121,3,2124,0.19,S228
9,P SHANMUGAM,Independent,2037,2,2039,0.18,S228
10,NAGARAJ P,Independent,1948,11,1959,0.17,S228
11,K JAYAMANI,Bahujan Samaj Party,1684,18,1702,0.15,S228
12,D SARAVANAN,Independent,1497,0,1497,0.13,S228
13,MP SHANMUGAM,Independent,859,9,868,0.08,S228
14,N SIVAKUMAR,Independent,701,0,701,0.06,S228
15,AFROSE,Independent,672,1,673,0.06,S228
16,A BEEMARAO MILINTHAR,United Republican Party of India,667,3,670,0.06,S228
17,DR S JAYARAJ,Independent,659,2,661,0.06,S228
18,K SHANMUGAM,Independent,601,15,616,0.05,S228
19,V KALIAPERUMAL,Ganasangam Party of India,594,6,600,0.05,S228
20,G SHANMUGAM,Independent,560,12,572,0.05,S228
21,PP JAYAPRAKASH,Independent,455,6,461,0.04,S228
22,PASUPATHI,Independent,407,8,415,0.04,S228
23,S WILLIAM SATHYARAJ,Tamil Manila Murpokku Dravida Kazhagam,373,4,377,0.03,S228
24,M BABU,Independent,303,3,306,0.03,S228
25,B JAGAN,Independent,282,3,285,0.03,S228
26,AHMED RAASHID PALLIMIRA,Independent,271,2,273,0.02,S228
27,SHANMUGASUNDARAM,Independent,250,1,251,0.02,S228
28,C MADHAVAN,Independent,201,1,202,0.02,S228
29,T JOHNSON,Independent,174,0,174,0.02,S228
30,E RAJKUMAR,Independent,129,4,133,0.01,S228
31,C RAMACHANDHIRAN,Independent,128,2,130,0.01,S228
32,NOTA,None of the Above,8669,67,8736,0.77,S228
1,ASIT KUMAR MAL,All India Trinamool Congress,851209,4424,855633,55.98,S2541
2,PIYA SAHA,Bharatiya Janata Party,525463,2917,528380,34.57,S2541
3,SHYAMALI PRADHAN,Communist Party of India  (Marxist),98819,564,99383,6.5,S2541
4,ATUL CHANDRA BAURI,Independent,7811,18,7829,0.51,S2541
5,DR MANIK CHANDRA PRODHAN,Bahujan Samaj Party,7011,28,7039,0.46,S2541
6,SHANTA DAS,Mulnibasi Party of India,3633,7,3640,0.24,S2541
7,BIJOY DOLUI,Socialist Unity Centre Of India (COMMUNIST),2774,18,2792,0.18,S2541
8,MANTU DHIBAR,Hindustan Shakti Sena,2048,4,2052,0.13,S2541
9,NOTA,None of the Above,21640,82,21722,1.42,S2541
1,AZAD KIRTI JHA,All India Trinamool Congress,717069,3598,720667,47.99,S2539
2,DILIP GHOSH,Bharatiya Janata Party,579609,3077,582686,38.8,S2539
3,SUKRITI GHOSAL,Communist Party of India  (Marxist),152851,978,153829,10.24,S2539
4,LUXMI NARAYAN KORA,Independent,7138,4,7142,0.48,S2539
5,PRABHU NATH SAH,Bahujan Samaj Party,6822,34,6856,0.46,S2539
6,TASBIRUL ISLAM,Socialist Unity Centre Of India (COMMUNIST),3450,19,3469,0.23,S2539
7,REENA LEONG,Independent,3100,11,3111,0.21,S2539
8,MIR SAKIMUDDIN,The National Road Map Party of India,2413,5,2418,0.16,S2539
9,NOTA,None of the Above,21532,63,21595,1.44,S2539
1,KHAGEN MURMU,Bharatiya Janata Party,525109,1914,527023,37.18,S257
2,PRASUN BANERJEE,All India Trinamool Congress,448234,1081,449315,31.7,S257
3,ALAM MOSTAQUE,Indian National Congress,384063,701,384764,27.14,S257
4,JATISH KISKU,Independent,8680,3,8683,0.61,S257
5,MONATAN HEMBRAM,Independent,7927,6,7933,0.56,S257
6,SWAPAN MAHATO,Independent,7235,2,7237,0.51,S257
7,SANATAN RISHI,Bahujan Samaj Party,5624,8,5632,0.4,S257
8,JOSEPH KISKU,Ambedkarite Party of India,4637,0,4637,0.33,S257
9,MONJU HEMBROM,Independent,3535,3,3538,0.25,S257
10,MD FARUQUE HOSSAIN,Independent,3374,1,3375,0.24,S257
11,SOMNATH DAS,Bharatiya Nyay-Adhikar Raksha Party,3157,7,3164,0.22,S257
12,SUBHASH BARMAN,Kamatapur People’s Party (United),2019,0,2019,0.14,S257
13,KALICHARAN ROY,Socialist Unity Centre Of India (COMMUNIST),1286,7,1293,0.09,S257
14,MD SOHEL,All India Secular Front,1090,2,1092,0.08,S257
15,NARESH PAL,Jan Sangh Party,593,3,596,0.04,S257
16,NOTA,None of the Above,7257,31,7288,0.51,S257
1,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,569651,2015,571666,48.91,S1344
2,SANJAY (KAKA) PATIL,Bharatiya Janata Party,469392,2221,471613,40.35,S1344
3,CHANDRAHAR SUBHASH PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),60115,745,60860,5.21,S1344
4,ALLAUDDIN HAYATCHAND KAZI,Independent,9269,13,9282,0.79,S1344
5,PRAKASH SHIVAJIRAO SHENDGE,Independent,8150,101,8251,0.71,S1344
6,PANDURANG RAOSAHEB BHOSALE,Bharatheeya Jawan Kisan Party,5518,47,5565,0.48,S1344
7,TIPUSULATAN SIKANDAR PATAVEGAR,Bahujan Samaj Party,5502,58,5560,0.48,S1344
8,MAHESH YASHWANT KHARADE,Swabhimani Paksha,5491,30,5521,0.47,S1344
9,RAVINDRA CHANDAR SOLANKAR,Independent,3649,9,3658,0.31,S1344
10,ANAND SHANKAR NALAGE,Baliraja Party,3531,9,3540,0.3,S1344
